date,symbol,expiry,strike,option_type,open,high,low,close,settle_price,underlying_price,open_interest,oi_change,volume
2024-12-02,NIFTY,2025-02-27,23000.0,PE,219.4,219.4,169.25,173.95,173.95,24276.05,64950.0,38100.0,902.0
2024-12-02,NIFTY,2025-03-27,23000.0,PE,233.95,246.3,204.35,209.0,209.0,24276.05,1285200.0,13575.0,9323.0
2024-12-02,NIFTY,2024-12-19,23000.0,PE,43.15,49.15,25.65,28.8,28.8,24276.05,164725.0,35650.0,7752.0
2024-12-02,NIFTY,2025-02-27,24550.0,PE,0.0,0.0,0.0,886.8,591.7,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-05,23550.0,PE,15.8,29.2,12.0,13.6,13.6,24276.05,2016775.0,821925.0,1072516.0
2024-12-02,NIFTY,2024-12-19,24550.0,CE,157.5,229.0,135.7,198.9,198.9,24276.05,975.0,0.0,93.0
2024-12-02,NIFTY,2028-12-28,23000.0,PE,0.0,0.0,0.0,643.35,329.1,24276.05,100.0,0.0,0.0
2024-12-02,NIFTY,2025-06-26,23000.0,PE,331.7,332.85,291.6,296.65,296.65,24276.05,245225.0,3300.0,757.0
2024-12-02,NIFTY,2024-12-12,23550.0,PE,71.25,75.85,40.9,43.85,43.85,24276.05,103125.0,3525.0,12079.0
2024-12-02,NIFTY,2025-09-25,23000.0,CE,0.0,0.0,0.0,5026.1,2803.5,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-09-25,23000.0,PE,0.0,0.0,0.0,195.15,298.25,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2028-06-29,23000.0,CE,0.0,0.0,0.0,4323.1,6554.55,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-01-30,23000.0,PE,132.95,143.15,109.25,112.75,112.75,24276.05,1329225.0,156650.0,25665.0
2024-12-02,NIFTY,2025-01-02,25550.0,PE,0.0,0.0,0.0,2026.25,1191.95,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-01-02,25550.0,CE,0.0,0.0,0.0,39.85,64.05,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-01-02,23750.0,CE,697.55,790.55,696.0,730.15,801.5,24276.05,2400.0,2400.0,35.0
2024-12-02,NIFTY,2024-12-26,23750.0,CE,704.2,840.0,611.05,810.45,810.45,24276.05,30325.0,-2300.0,570.0
2024-12-02,NIFTY,2025-03-27,20000.0,PE,33.3,33.6,27.15,29.1,29.1,24276.05,342100.0,5100.0,1992.0
2024-12-02,NIFTY,2024-12-05,24950.0,CE,3.05,5.85,0.05,4.05,4.05,24276.05,1960625.0,802175.0,1544756.0
2024-12-02,NIFTY,2027-06-24,20000.0,CE,0.0,0.0,0.0,3367.05,7536.85,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-05,24800.0,PE,636.75,755.4,468.25,497.6,497.6,24276.05,98175.0,27350.0,17058.0
2024-12-02,NIFTY,2024-12-19,24800.0,CE,69.7,128.0,60.95,112.15,112.15,24276.05,19950.0,-550.0,2607.0
2024-12-02,NIFTY,2025-01-02,24800.0,CE,0.0,0.0,0.0,120.8,229.65,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-01-30,24800.0,PE,727.0,737.95,577.0,594.5,594.5,24276.05,16825.0,4575.0,578.0
2024-12-02,NIFTY,2024-12-26,24800.0,CE,133.7,184.05,97.0,165.75,165.75,24276.05,863925.0,14375.0,49323.0
2024-12-02,NIFTY,2024-12-12,24800.0,CE,35.05,71.5,25.0,59.75,59.75,24276.05,481700.0,237125.0,113749.0
2024-12-02,NIFTY,2025-02-27,24800.0,CE,0.0,0.0,0.0,590.5,590.15,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-01-02,24800.0,PE,0.0,0.0,0.0,1363.45,611.8,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-01-30,24800.0,CE,304.95,417.0,288.4,395.2,395.2,24276.05,48100.0,-1250.0,1992.0
2024-12-02,NIFTY,2024-12-12,24800.0,PE,677.6,726.1,480.0,509.7,509.7,24276.05,17475.0,11700.0,667.0
2024-12-02,NIFTY,2024-12-26,24800.0,PE,649.95,727.7,505.5,534.9,534.9,24276.05,812225.0,-1050.0,5814.0
2024-12-02,NIFTY,2024-12-05,24800.0,CE,7.15,15.0,3.55,10.3,10.3,24276.05,9420825.0,4321500.0,4640111.0
2024-12-02,NIFTY,2025-02-27,24800.0,PE,0.0,0.0,0.0,1029.1,718.3,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-01-30,25850.0,CE,0.0,0.0,0.0,56.2,128.95,24276.05,1625.0,0.0,0.0
2024-12-02,NIFTY,2025-01-02,25850.0,CE,0.0,0.0,0.0,19.2,34.85,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-26,25850.0,CE,9.0,13.5,6.55,11.45,11.45,24276.05,30450.0,-2700.0,1630.0
2024-12-02,NIFTY,2024-12-12,25850.0,PE,0.0,0.0,0.0,1544.55,1526.85,24276.05,0.0,0.0,0.0
